ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Spending_Score_Ordinal,Segment
458989,Female,Yes,36,Yes,Engineer,0.0,Low,1.0,Cat_6,0,3
458994,Male,Yes,37,Yes,Healthcare,8.0,Average,4.0,Cat_6,1,0
458996,Female,Yes,69,No,Unknown,0.0,Low,1.0,Cat_6,0,3
459000,Male,Yes,59,No,Executive,11.0,High,2.0,Cat_6,2,0
459001,Female,No,19,No,Marketing,1.0,Low,4.0,Cat_6,0,2
459003,Male,Yes,47,Yes,Doctor,0.0,High,5.0,Cat_4,2,1
459005,Male,Yes,61,Yes,Doctor,5.0,Low,3.0,Cat_6,0,3
459008,Female,Yes,47,Yes,Artist,1.0,Average,3.0,Cat_6,1,1
459013,Male,Yes,50,Yes,Artist,2.0,Average,4.0,Cat_6,1,1
459014,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,0,2
459015,Male,No,22,No,Healthcare,0.0,Low,3.0,Cat_6,0,2
459016,Female,No,22,No,Healthcare,0.0,Low,6.0,Cat_6,0,2
459024,Male,Yes,50,Yes,Artist,1.0,Average,5.0,Cat_6,1,1
459026,Male,No,27,No,Healthcare,8.0,Low,3.0,Cat_3,0,0
459032,Male,No,18,No,Doctor,0.0,Low,3.0,Cat_6,0,2
459033,Female,Yes,61,Yes,Artist,0.0,Low,1.0,Cat_6,0,3
459036,Female,Yes,20,Yes,Lawyer,1.0,Average,3.0,Cat_3,1,2
459039,Male,Yes,45,Yes,Artist,1.0,Average,2.0,Cat_6,1,1
459041,Male,Yes,55,Yes,Artist,8.0,Low,1.0,Cat_6,0,0
459045,Female,Yes,88,Yes,Lawyer,1.0,Average,4.0,Cat_6,1,1
459056,Male,Yes,63,No,Executive,1.0,High,3.0,Cat_6,2,1
459057,Male,Yes,69,No,Lawyer,1.0,High,2.0,Cat_6,2,1
459058,Male,No,42,Yes,Artist,0.0,Low,4.0,Cat_3,0,2
459059,Male,Yes,79,No,Executive,1.0,High,2.0,Cat_6,2,1
459061,Female,Yes,35,Yes,Healthcare,9.0,High,3.0,Cat_6,2,0
459064,Male,Yes,27,No,Executive,5.0,High,4.0,Cat_6,2,1
459065,Male,Yes,52,Yes,Engineer,1.0,Low,2.0,Cat_6,0,3
459074,Female,No,29,Yes,Healthcare,0.0,Low,4.0,Cat_4,0,2
459077,Female,Yes,79,No,Lawyer,1.0,High,2.0,Cat_6,2,1
459079,Male,Yes,87,Yes,Lawyer,1.0,High,2.0,Cat_6,2,1
459080,Male,Yes,89,No,Lawyer,1.0,Low,2.0,Cat_6,0,3
459083,Male,Yes,63,Yes,Artist,9.0,Average,3.0,Unknown,1,0
459090,Male,No,31,No,Artist,1.0,Low,2.0,Cat_6,0,3
459091,Male,Yes,72,Yes,Artist,1.0,Average,6.0,Cat_1,1,1
459093,Female,Yes,41,Yes,Doctor,9.0,Average,2.0,Unknown,1,0
459100,Female,No,61,Yes,Artist,11.0,Low,1.0,Cat_6,0,0
459106,Male,Yes,62,Yes,Artist,0.0,Low,2.0,Cat_6,0,3
459114,Male,Yes,56,Yes,Artist,1.0,Average,2.0,Cat_6,1,1
459116,Male,Yes,60,Yes,Artist,2.0,Average,5.0,Cat_6,1,1
459117,Male,Yes,68,Yes,Artist,0.0,High,2.0,Cat_6,2,1
459118,Male,No,19,No,Healthcare,1.0,Low,8.0,Cat_6,0,2
459119,Male,Yes,57,Yes,Executive,8.0,High,3.0,Cat_6,2,1
459120,Male,No,19,No,Healthcare,5.0,Low,5.0,Cat_2,0,2
459121,Female,Yes,51,Yes,Artist,3.0,Average,6.0,Cat_6,1,1
459123,Female,Yes,86,No,Artist,1.0,High,2.0,Cat_6,2,1
459130,Female,Yes,74,No,Lawyer,1.0,High,2.0,Cat_6,2,1
459132,Male,No,23,No,Entertainment,6.0,Low,2.0,Cat_6,0,0
459136,Male,Yes,47,Yes,Artist,0.0,Average,2.0,Cat_6,1,1
459140,Female,No,19,No,Healthcare,7.0,Low,6.0,Cat_6,0,2
459143,Male,Yes,50,No,Artist,0.0,High,4.0,Cat_6,2,1
459144,Male,Yes,80,Yes,Lawyer,1.0,High,2.0,Cat_6,2,1
459145,Male,Yes,78,No,Lawyer,1.0,Low,1.0,Cat_2,0,3
459150,Female,No,48,Yes,Doctor,0.0,Low,1.0,Cat_6,0,3
459160,Male,Yes,70,Yes,Doctor,1.0,Average,2.0,Cat_6,1,1
459161,Male,Yes,50,Yes,Executive,3.0,High,5.0,Cat_6,2,1
459162,Female,Yes,83,Yes,Lawyer,0.0,High,2.0,Cat_6,2,1
459163,Male,No,35,Yes,Entertainment,0.0,Low,1.0,Cat_6,0,3
459167,Female,No,36,Yes,Artist,0.0,Low,2.0,Cat_5,0,3
459170,Female,No,35,Yes,Artist,1.0,Low,1.0,Cat_6,0,3
459171,Male,Yes,35,Yes,Artist,0.0,Average,2.0,Cat_6,1,1
459172,Male,No,18,No,Healthcare,3.0,Low,3.0,Cat_2,0,2
459175,Female,Yes,73,Yes,Artist,1.0,Average,2.0,Cat_6,1,1
459181,Male,Yes,62,No,Artist,1.0,High,3.0,Cat_6,2,1
459182,Female,Yes,46,Yes,Artist,1.0,Average,2.0,Cat_6,1,1
459184,Male,Yes,43,Yes,Entertainment,0.0,Low,4.0,Cat_4,0,2
459185,Female,No,32,Yes,Entertainment,7.0,Low,1.0,Cat_6,0,0
